TopicID,ForumID,UserID,UserName,Posted,Topic,Views,Priority,PollID,TopicMovedID,LastPosted,LastMessageID,LastUserID,LastUserName,NumPosts,Flags,IsDeleted,IsQuestion,AnswerMessageId,LastMessageFlags,TopicImage
117,5,221,NULL,2012-11-22 17:39:57.757,Seat covers 322 (forward L seat),4964,0,NULL,NULL,2013-07-06 11:23:31.750,372,34,NULL,5,0,0,0,NULL,22,NULL
118,1,222,NULL,2012-11-24 02:14:26.493,Abercrombie does not simply go head to head against its closest competitor,18,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
119,3,223,NULL,2012-11-26 07:49:48.510,Versatile Tiffany Jewelry Series for Office Ladies,8,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
120,5,225,NULL,2012-11-27 15:54:43.723,Adding generator to 2002 366 cuddy,71,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
121,1,227,NULL,2012-11-29 07:43:36.713,If you wish to abercrombie & fitch,4,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
122,1,230,NULL,2012-12-02 03:21:27.647,Starting of the press and retailers Abercrombie Fitch,5,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
123,1,231,NULL,2012-12-02 03:42:46.523,Thomas Sabo Charms builder to design your perfect jewelry,5,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
124,1,232,NULL,2012-12-02 11:50:04.640,Beats by Dre Black Friday to be a wonderful in addition to captivating fascinatress,5,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
125,1,233,NULL,2012-12-03 06:02:35.530,dark plastic throat straps,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
126,1,233,NULL,2012-12-03 06:04:09.600,I do not do the physical wellness,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
127,1,233,NULL,2012-12-03 06:05:18.837,it's the feed of sand in your shoes,1,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
128,1,233,NULL,2012-12-03 06:06:35.537,Not that it problems,2,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
129,3,234,NULL,2012-12-04 00:22:37.337,smalls fractures,41,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
134,1,239,NULL,2012-12-10 06:00:04.400,Abercrombie takes care of the needs of all,12,0,NULL,NULL,NULL,NULL,NULL,NULL,0,8,1,0,NULL,NULL,NULL
